product_category,product_name,product_slug,product_description,product_summary,product_status,product_thumbnail,product_images,product_options,variant_name,variant_sku,variant_barcode,variant_price,variant_compare_at_price,variant_cost_price,variant_inventory_quantity,variant_track_inventory,variant_continue_selling_out_of_stock,variant_weight,variant_weight_unit,variant_width,variant_height,variant_depth,variant_dimension_unit,variant_options
Health,"Placeat Consequatur Non (Health)",placeat-consequatur-non-health,"Eum quaerat nisi explicabo veritatis asperiores consequatur. Voluptas perspiciatis eos esse error sequi. Et et recusandae sed ut. Quibusdam hic amet architecto atque saepe voluptatibus molestiae.","Doloremque accusantium consequuntur fugiat perferendis placeat ab.",active,https://picsum.photos/300/300?random=101,"[""https:\/\/picsum.photos\/600\/600?random=1010"",""https:\/\/picsum.photos\/600\/600?random=1011""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Placeat Consequatur Non (Health) - Black / M",CLN-00101,3231196624214,91.29,109.54,56.35,18,1,0,3432.56,g,31.43,44.38,40.12,cm,"{""Color"":""Black"",""Size"":""M""}"
Health,"Est Ut Deserunt (Health)",est-ut-deserunt-health,"Dolor ab voluptatem deserunt dolorum. Molestias est est harum consequatur. Et modi doloremque minima iure temporibus. Inventore maxime commodi porro labore fugiat mollitia placeat. Nobis odit dolor aut quas illo non.","Aut ad aut consequatur sit perspiciatis totam.",active,https://picsum.photos/300/300?random=102,"[""https:\/\/picsum.photos\/600\/600?random=1020"",""https:\/\/picsum.photos\/600\/600?random=1021""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Est Ut Deserunt (Health) - White / M",JG0-00102,2500326587981,230.87,,94.62,48,1,0,4526.42,g,15.63,12.74,41.48,cm,"{""Color"":""White"",""Size"":""M""}"
Health,"Consequatur Pariatur Hic (Health)",consequatur-pariatur-hic-health,"Quis non et ex inventore vel odio. Voluptas esse omnis aut corrupti repudiandae. Rerum molestiae rem sed autem dolores. Consequuntur voluptatem ab sed voluptas.","Cumque voluptatem est ea et laborum quidem.",active,https://picsum.photos/300/300?random=103,"[""https:\/\/picsum.photos\/600\/600?random=1030"",""https:\/\/picsum.photos\/600\/600?random=1031""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Consequatur Pariatur Hic (Health) - White / M",W9I-00103,3337261793721,71.83,,41.76,5,1,0,363.09,g,29.3,28.06,30.22,cm,"{""Color"":""White"",""Size"":""M""}"
Health,"Accusamus Vel Et (Health)",accusamus-vel-et-health,"Rem officia voluptatum ipsa vel quis non. Officiis ipsa ad officiis. Ad quaerat sit maxime vitae. Ut sunt voluptas ea est numquam qui. Provident quaerat voluptatibus veniam magnam iure. Exercitationem et hic corporis laboriosam enim.","Architecto totam voluptatibus earum praesentium ut neque qui.",active,https://picsum.photos/300/300?random=104,"[""https:\/\/picsum.photos\/600\/600?random=1040"",""https:\/\/picsum.photos\/600\/600?random=1041""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Accusamus Vel Et (Health) - Black / S",LGQ-00104,2384127299454,321.36,,171.85,100,1,0,4482.48,g,20.21,36.82,37.38,cm,"{""Color"":""Black"",""Size"":""S""}"
Health,"Magni Eius Aperiam (Health)",magni-eius-aperiam-health,"Quia occaecati et quibusdam ad ea atque. Alias voluptatum voluptates et. Repellat omnis voluptatibus id cumque autem est est aut. Excepturi quis veritatis qui voluptatem recusandae.","Repellendus et et et rem.",active,https://picsum.photos/300/300?random=105,"[""https:\/\/picsum.photos\/600\/600?random=1050"",""https:\/\/picsum.photos\/600\/600?random=1051""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Magni Eius Aperiam (Health) - Black / L",JUY-00105,6413932608208,149.69,179.63,84.57,9,1,0,1996.13,g,9.13,47.47,41.74,cm,"{""Color"":""Black"",""Size"":""L""}"
Health,"Ea Ut Est (Health)",ea-ut-est-health,"Voluptas consequatur fuga molestiae quidem corporis. A aut aut est ea iusto assumenda. Voluptas ut eligendi id culpa veritatis voluptates.","Libero voluptatem minus rerum dicta aut.",active,https://picsum.photos/300/300?random=106,"[""https:\/\/picsum.photos\/600\/600?random=1060"",""https:\/\/picsum.photos\/600\/600?random=1061""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Ea Ut Est (Health) - White / S",0JQ-00106,7424676700188,121.49,,86.16,149,1,0,1806.46,g,30.93,38.62,14.98,cm,"{""Color"":""White"",""Size"":""S""}"
Health,"Odit Quia Id (Health)",odit-quia-id-health,"Omnis molestiae et quos amet nobis quos hic. Quas dignissimos vel nobis. Et nisi omnis asperiores ipsum. Minus consequatur unde labore aut dolor hic. Ut exercitationem eaque consequuntur deserunt eos impedit.","Nam aut inventore vitae qui voluptas.",active,https://picsum.photos/300/300?random=107,"[""https:\/\/picsum.photos\/600\/600?random=1070"",""https:\/\/picsum.photos\/600\/600?random=1071""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Odit Quia Id (Health) - White / M",0RK-00107,3933441100220,102.76,123.31,54.66,124,1,0,236.4,g,16.75,6.64,5.42,cm,"{""Color"":""White"",""Size"":""M""}"
Health,"Dicta Accusantium Eligendi (Health)",dicta-accusantium-eligendi-health,"Repudiandae odio dignissimos enim nostrum vero quo provident eos. Architecto culpa quis voluptate consequatur voluptas consequatur aut. Earum voluptas ad molestias ut veritatis harum dolorem aut. Perferendis fugit aspernatur aperiam quod sit. Sed sunt incidunt delectus consequatur consequuntur sint veniam. Officiis perspiciatis voluptas quos iure saepe quia et.","Nihil reiciendis porro minima occaecati qui sunt.",active,https://picsum.photos/300/300?random=108,"[""https:\/\/picsum.photos\/600\/600?random=1080"",""https:\/\/picsum.photos\/600\/600?random=1081""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Dicta Accusantium Eligendi (Health) - White / L",9CT-00108,2389342338186,59.91,71.9,48.71,24,1,0,1686.68,g,11.68,23.62,8.16,cm,"{""Color"":""White"",""Size"":""L""}"
Health,"Dolores Error Error (Health)",dolores-error-error-health,"Unde necessitatibus temporibus ipsum aut et sunt. Placeat omnis dolorem distinctio omnis doloribus cum. Iste minus enim eum aut rerum nam ut.","Recusandae sit labore dolorem at praesentium aut possimus.",active,https://picsum.photos/300/300?random=109,"[""https:\/\/picsum.photos\/600\/600?random=1090"",""https:\/\/picsum.photos\/600\/600?random=1091""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Dolores Error Error (Health) - White / L",PLJ-00109,1033936916823,397.59,,184.07,21,1,0,4876.18,g,18.91,36.74,19.17,cm,"{""Color"":""White"",""Size"":""L""}"
Health,"Sed Sequi Rem (Health)",sed-sequi-rem-health,"Nemo sit non dolor eveniet ut. Enim in nisi facilis error. Est et iste explicabo aut eveniet facilis tempore. Quas neque quis et rerum dolor dolorem.","Enim quibusdam vitae sed dolorem occaecati.",active,https://picsum.photos/300/300?random=110,"[""https:\/\/picsum.photos\/600\/600?random=1100"",""https:\/\/picsum.photos\/600\/600?random=1101""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Sed Sequi Rem (Health) - Black / L",RDI-00110,3515966540394,112.5,,54.61,38,1,0,4702.56,g,30.15,43.84,25.17,cm,"{""Color"":""Black"",""Size"":""L""}"
